order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_estimated_delivery_date,customer_state,total_price,total_frieght,item_count,target,is_late
2017-09-13 08:59:02,2017-09-13 09:45:35,2017-09-19 18:34:16,2017-09-29,RJ,58.9,13.29,1,1,0
2017-04-26 10:53:06,2017-04-26 11:05:13,2017-05-04 14:35:00,2017-05-15,SP,239.9,19.93,1,8,0
2018-01-14 14:33:31,2018-01-14 14:48:30,2018-01-16 12:36:48,2018-02-05,MG,199.0,17.87,1,6,0
2018-08-08 10:00:35,2018-08-08 10:10:18,2018-08-10 13:28:00,2018-08-20,SP,12.99,12.79,1,4,0
2017-02-04 13:57:51,2017-02-04 14:10:13,2017-02-16 09:46:09,2017-03-17,SP,199.9,18.14,1,13,0
2017-05-15 21:42:34,2017-05-17 03:55:27,2017-05-17 11:05:55,2017-06-06,MG,21.9,12.69,1,5,0
2017-12-10 11:53:48,2017-12-10 12:10:31,2017-12-12 01:07:48,2018-01-04,SP,19.9,11.85,1,6,0
2018-07-04 12:08:27,2018-07-05 16:35:48,2018-07-05 12:15:00,2018-07-25,SP,810.0,70.75,1,4,0
2018-03-19 18:40:33,2018-03-20 18:35:21,2018-03-28 00:37:42,2018-03-29,SP,145.95,11.65,1,1,1
2018-07-02 13:59:39,2018-07-02 14:10:56,2018-07-03 14:25:00,2018-07-23,SP,53.99,11.4,1,1,0
2018-03-24 22:16:10,2018-03-24 22:28:09,2018-03-27 05:26:55,2018-04-09,SP,59.99,8.88,1,1,0
2018-07-27 17:21:27,2018-07-27 18:00:06,2018-07-30 14:52:00,2018-08-07,SP,45.0,12.98,1,7,1
2018-07-24 17:04:17,2018-07-24 17:24:20,2018-07-25 11:02:00,2018-08-22,RJ,74.0,23.32,1,5,0
2018-02-13 22:10:21,2018-02-15 03:55:52,2018-02-20 18:23:28,2018-03-06,SP,99.8,26.74,2,5,0
2018-08-14 20:43:09,2018-08-15 12:15:10,2018-08-15 15:28:00,2018-08-28,MG,99.9,27.65,1,6,0
2018-04-25 09:10:41,2018-04-25 09:33:19,2018-04-27 15:14:00,2018-05-09,SP,639.0,11.34,1,3,0
2018-05-11 20:33:38,2018-05-11 20:57:03,2018-05-16 14:26:00,2018-05-22,SP,144.0,8.77,1,2,0
2017-08-12 10:08:57,2017-08-15 03:35:32,2017-08-15 15:32:51,2017-09-01,SP,99.0,13.71,1,3,0
2018-02-22 11:54:42,2018-02-22 12:08:37,2018-02-26 14:18:32,2018-03-19,SP,25.0,16.11,1,14,0
2018-03-23 19:48:26,2018-03-23 20:07:49,2018-03-26 21:38:48,2018-04-05,SP,47.9,8.88,1,0,0
2017-11-21 18:54:23,2017-11-21 19:09:02,2017-11-22 20:46:54,2017-12-07,SP,21.99,11.85,1,16,1
2018-03-07 10:33:13,2018-03-07 11:10:11,2018-03-16 15:58:31,2018-04-11,RJ,119.99,44.4,1,6,0
2018-02-27 09:27:14,2018-02-27 09:35:41,2018-02-27 21:43:46,2018-03-23,PR,49.0,15.1,1,8,0
2017-09-11 17:39:33,2017-09-11 18:04:37,2017-09-12 17:02:57,2017-09-27,RJ,48.9,16.6,1,10,0
2017-08-06 00:42:49,2017-08-07 00:35:12,2017-08-07 21:12:34,2017-08-31,RJ,219.9,16.98,1,8,0
2018-01-16 21:43:23,2018-01-16 21:51:25,2018-01-23 22:08:06,2018-02-15,SP,289.0,26.33,1,3,0
2017-03-23 12:21:17,2017-03-23 13:05:42,2017-03-27 08:58:04,2017-04-20,GO,109.9,25.51,1,11,0
2018-06-11 21:17:00,2018-06-12 05:16:24,2018-06-12 14:22:00,2018-06-20,SP,27.9,7.94,1,1,0
2017-12-05 23:40:59,2017-12-07 03:16:36,2017-12-07 22:59:30,2017-12-28,SP,119.9,17.32,1,12,0
2017-11-24 16:50:38,2017-11-25 06:30:55,2017-11-28 19:43:52,2017-12-18,RJ,397.0,24.65,1,12,0
2018-04-07 18:51:22,2018-04-07 19:08:28,2018-04-09 23:29:32,2018-05-10,MG,59.9,23.35,1,16,0
2017-10-16 15:29:43,2017-10-16 16:07:52,2017-10-16 23:04:43,2017-11-06,GO,63.989999999999995,45.3,3,10,0
2017-05-22 13:49:03,2017-05-23 03:15:24,2017-05-29 09:04:02,2017-06-13,PR,16.5,14.1,1,9,0
2018-01-14 09:01:36,2018-01-14 09:11:24,2018-01-17 22:56:36,2018-02-15,PR,21.9,15.1,1,14,0
2018-01-16 09:26:39,2018-01-17 03:35:47,2018-01-17 16:46:04,2018-02-07,RJ,39.0,16.11,1,6,0
2017-04-28 19:54:40,2017-04-29 10:05:12,2017-05-16 08:40:49,2017-06-01,BA,49.75,20.8,1,6,0
2017-04-06 22:16:10,2017-04-06 22:25:19,2017-04-17 13:54:37,2017-05-19,AL,809.1,44.29,1,35,1
2018-02-06 19:11:57,2018-02-07 19:10:37,2018-02-08 17:44:13,2018-03-02,SP,99.99,13.72,1,7,0
2018-03-06 06:40:28,2018-03-06 06:50:26,2018-03-07 01:20:05,2018-04-11,MG,59.9,19.95,1,9,0
2017-12-27 00:38:47,2017-12-28 02:33:42,2017-12-28 18:09:35,2018-01-29,BA,74.67,52.89,3,20,0
2018-07-04 11:39:11,2018-07-06 02:51:10,2018-07-06 08:58:00,2018-07-17,SP,54.0,8.54,1,6,0
2018-03-26 17:42:53,2018-03-26 17:50:17,2018-03-29 23:32:44,2018-04-27,SP,81.99,13.01,1,7,0
2017-11-24 19:19:18,2017-11-24 22:38:47,2017-11-27 12:42:15,2017-12-14,SP,99.0,13.71,1,25,1
2017-05-14 17:19:44,2017-05-14 17:35:11,2017-05-24 15:45:01,2017-05-24,SP,37.98,15.56,2,1,1
2017-05-17 23:19:34,2017-05-19 02:15:20,2017-05-19 10:03:49,2017-06-19,BA,38.33,16.79,1,20,0
2017-01-28 13:17:57,2017-01-28 13:32:16,2017-02-01 15:59:46,2017-03-20,MG,69.9,18.0,1,11,0
2017-03-18 11:47:37,2017-03-18 11:47:37,2017-03-20 10:14:45,2017-04-12,MS,195.0,18.21,1,8,0
2018-05-19 10:29:23,2018-05-19 10:59:50,2018-05-21 14:34:00,2018-06-05,MG,35.9,15.2,1,14,0
2017-11-28 09:32:49,2017-11-28 09:58:07,2017-11-29 00:09:20,2017-12-22,PR,79.5,21.05,1,3,0
2017-08-15 02:45:18,2017-08-15 03:03:44,2017-08-15 16:40:22,2017-09-06,RJ,29.99,15.1,1,9,0
2018-04-22 12:13:25,2018-04-24 17:24:48,2018-04-23 19:03:19,2018-05-14,SP,109.9,13.21,1,9,0
2018-03-31 16:41:54,2018-03-31 16:50:11,2018-04-02 22:38:53,2018-04-26,SP,74.9,16.49,1,2,0
2018-03-27 16:25:35,2018-03-27 16:35:20,2018-03-28 17:58:37,2018-04-17,MG,14.95,18.23,1,8,0
2018-05-08 21:45:54,2018-05-08 22:14:46,2018-05-09 13:51:00,2018-06-05,CE,149.9,43.11,1,21,0
2017-12-27 17:52:11,2017-12-27 17:59:35,2017-12-28 21:53:36,2018-01-22,MG,19.99,14.1,1,6,0
2018-07-08 09:17:59,2018-07-08 09:30:09,2018-07-10 13:36:00,2018-08-03,CE,390.0,29.39,1,20,0
2018-02-27 17:46:23,2018-03-01 02:49:09,2018-03-02 03:12:49,2018-03-26,DF,135.0,21.75,1,20,0
2017-02-02 21:18:03,2017-02-02 21:30:13,2017-02-03 12:34:49,2017-03-03,RS,104.0,16.43,1,4,0
2017-10-27 21:10:26,2017-10-27 21:26:45,2017-11-03 20:59:39,2017-12-01,SP,149.0,15.8,1,4,0
2017-11-24 23:10:30,2017-11-28 03:39:45,2017-11-29 17:28:59,2017-12-14,SP,279.9,13.46,1,5,0
2018-02-13 11:47:21,2018-02-13 12:55:57,2018-02-20 23:19:10,2018-03-22,PR,44.9,23.22,1,23,0
2018-07-23 17:26:00,2018-07-28 23:30:59,2018-07-24 15:53:00,2018-08-14,PE,37.99,19.18,1,17,0
2018-08-15 14:59:36,2018-08-17 03:35:17,2018-08-17 09:45:00,2018-09-11,RS,29.99,15.31,1,11,0
